GAME_ID,TEAM_ABBREVIATION,PTS,REB,AST,TO,STL,BLK,FG_PCT,FT_PCT,FG3_PCT,ImpactScore
1012500001,BRA,124.0,62.0,26.0,38.0,6.0,6.0,0.3930833333333333,0.34025,0.22216666666666665,0.43600779791780025
1012500001,CHI,178.0,86.0,42.0,18.0,24.0,4.0,0.4123888888888889,0.2888888888888889,0.112,0.97721242627682
1012500002,IND,158.0,94.0,36.0,36.0,18.0,4.0,0.23981818181818182,0.5340909090909091,0.16963636363636364,0.5311227626083047
1012500002,WAS,148.0,82.0,42.0,44.0,20.0,6.0,0.3863846153846154,0.3076923076923077,0.2436153846153846,0.6125458697321613
1012500003,BRA,88.0,72.0,24.0,52.0,12.0,4.0,0.29958333333333337,0.3055833333333333,0.09858333333333334,0.3087179547850902
1012500003,IND,216.0,96.0,50.0,22.0,26.0,8.0,0.4973571428571429,0.33449999999999996,0.256,1.1634599537754602
1012500004,CON,118.0,56.0,28.0,36.0,28.0,8.0,0.28315384615384614,0.3269230769230769,0.11153846153846153,0.5613890599911113
1012500004,SEA,158.0,84.0,42.0,38.0,20.0,10.0,0.391,0.47225,0.09441666666666666,0.804605853204142
1012500005,CHI,148.0,74.0,40.0,30.0,22.0,12.0,0.3897857142857143,0.17857142857142858,0.22014285714285714,0.8021600998567189
1012500005,MIN,138.0,78.0,42.0,36.0,18.0,4.0,0.4061818181818182,0.5,0.13636363636363635,0.6911914030592068
1012500006,GSV,164.0,74.0,36.0,30.0,14.0,4.0,0.4285,0.43814285714285717,0.1352142857142857,0.7206263102341239
1012500006,LAS,166.0,76.0,42.0,32.0,16.0,4.0,0.4087692307692308,0.3974615384615384,0.25276923076923075,0.7316475539106583
1012500007,LVA,170.0,54.0,34.0,20.0,20.0,10.0,0.37376923076923074,0.4423076923076923,0.1769230769230769,0.8181071963944884
1012500007,PHX,168.0,70.0,40.0,40.0,14.0,0.0,0.52275,0.25,0.32706250000000003,0.5834956478865055
1012500008,ATL,160.0,66.0,38.0,22.0,20.0,12.0,0.3252,0.26666666666666666,0.20020000000000002,0.7843490334374934
1012500008,WAS,140.0,64.0,36.0,32.0,14.0,8.0,0.4183636363636364,0.5454545454545454,0.15145454545454545,0.6824910227180514
1012500009,ATL,152.0,64.0,40.0,22.0,14.0,16.0,0.3766923076923077,0.5769230769230769,0.4306153846153846,0.8637637219231937
1012500009,IND,162.0,78.0,46.0,28.0,16.0,4.0,0.457,0.34245454545454546,0.2461818181818182,0.7719041460143157
1012500010,DAL,238.0,84.0,68.0,20.0,26.0,4.0,0.6306153846153847,0.45515384615384613,0.23623076923076922,1.1550825672077898
1012500010,TOY,104.0,34.0,32.0,38.0,12.0,4.0,0.34444444444444444,0.3888888888888889,0.12433333333333334,0.35428874166595503
1012500011,CHI,174.0,70.0,42.0,26.0,16.0,10.0,0.4477272727272727,0.4318181818181818,0.4178181818181818,0.7788417692400046
1012500011,MIN,184.0,80.0,46.0,22.0,12.0,8.0,0.35650000000000004,0.4074166666666667,0.3139166666666667,0.6346685020958939
1012500012,GSV,168.0,66.0,42.0,16.0,20.0,6.0,0.27884615384615385,0.641,0.21,0.8686952696551125
1012500012,PHX,158.0,92.0,42.0,36.0,8.0,14.0,0.34181818181818185,0.4508181818181818,0.17272727272727273,0.7541863417313261
1012500013,DAL,156.0,56.0,36.0,38.0,6.0,6.0,0.3153125,0.2604375,0.23125,0.4746408354522966
1012500013,LVA,224.0,80.0,54.0,18.0,28.0,10.0,0.36146153846153845,0.31153846153846154,0.26276923076923075,1.1212364562755626
1012500014,CON,188.0,64.0,48.0,18.0,18.0,4.0,0.47175000000000006,0.46875,0.22324999999999998,0.9470009521259922
1012500014,NYL,172.0,46.0,48.0,36.0,14.0,4.0,0.6162500000000001,0.5139166666666667,0.4444166666666667,0.6393160444574804
1012500015,NYL,168.0,58.0,46.0,14.0,16.0,8.0,0.5421538461538462,0.29484615384615387,0.21153846153846154,0.8256834564190716
1012500015,TOY,122.0,68.0,34.0,28.0,10.0,4.0,0.39233333333333337,0.18522222222222223,0.2241111111111111,0.5382507423193096
1022500001,ATL,180.0,74.0,48.0,28.0,8.0,4.0,0.3258888888888889,0.38055555555555554,0.20555555555555557,0.6396370766433893
1022500001,WAS,188.0,52.0,36.0,14.0,14.0,8.0,0.6607777777777778,0.3888888888888889,0.426,0.7840775893095479
1022500002,DAL,168.0,66.0,30.0,28.0,16.0,4.0,0.41463636363636364,0.36363636363636365,0.303,0.70133418472895
1022500002,MIN,198.0,62.0,54.0,26.0,10.0,0.0,0.3552,0.4196,0.275,0.4878193076692442
1022500003,GSV,134.0,66.0,26.0,40.0,16.0,4.0,0.24466666666666667,0.6296666666666666,0.17222222222222222,0.43965517130999665
1022500003,LAS,168.0,54.0,38.0,22.0,32.0,8.0,0.331125,0.427125,0.145875,0.6804473440153205
1022500004,CHI,116.0,84.0,34.0,34.0,10.0,14.0,0.3063636363636364,0.18181818181818182,0.1848181818181818,0.5935835157921406
1022500004,IND,186.0,92.0,38.0,20.0,26.0,20.0,0.4584,0.47919999999999996,0.2,1.0237439800097587
1022500005,LVA,156.0,82.0,36.0,20.0,8.0,4.0,0.3175,0.2667,0.2433,0.7643832304293571
1022500005,NYL,184.0,86.0,54.0,12.0,14.0,14.0,0.3199166666666667,0.375,0.10416666666666667,0.9414073373026571
1022500006,PHX,162.0,76.0,40.0,28.0,16.0,10.0,0.4467777777777778,0.28833333333333333,0.19444444444444445,0.7654065724018446
